episode,agent_id,action,reward,cvar_95,compliance,timestamp
50,A5,1.1073056992608952,2123778.1707570287,4975087.516486386,0.9540985552953422,2025-08-01 02:42:13.609655
50,A4,0.9570853553725848,4353987.053435694,2773807.7806330374,0.7164039429926848,2025-08-01 02:41:13.609655
50,A3,1.0878100191025506,6869486.492687095,2580417.1319546504,0.6828670528339997,2025-08-01 02:40:13.609655
50,A2,1.0022249112660846,5214396.993679137,4713141.750776884,0.8483693633110574,2025-08-01 02:39:13.609655
50,A1,0.8136780533125925,5733578.2812337475,3499455.542184459,0.7886412437692946,2025-08-01 02:38:13.609655
49,A5,1.1672739614675638,7513097.591464188,2197833.2078568316,0.8049201876701462,2025-08-01 02:37:13.609655
49,A4,0.9543272994482106,9427809.722074158,4059527.019283785,0.8339179673317628,2025-08-01 02:36:13.609655
49,A3,0.8062762411895041,5023770.233810498,3058210.475979108,0.7525992947683829,2025-08-01 02:35:13.609655
49,A2,0.8838720930665334,3976209.0106793656,3457703.6039192993,0.9254875146214452,2025-08-01 02:34:13.609655
49,A1,0.9897257286224864,3939495.9674995327,2566377.906260924,0.6940518466971421,2025-08-01 02:33:13.609655
48,A5,0.9419046281679628,10179811.91496019,2647639.2809839468,0.7270015396287728,2025-08-01 02:32:13.609655
48,A4,1.073734711891788,3346835.737432724,2691407.159816729,0.8155775370686642,2025-08-01 02:31:13.609655
48,A3,0.9443216750202792,1280940.7270035492,2739991.351317615,0.6206059042958546,2025-08-01 02:30:13.609655
48,A2,0.8204866075932445,6165225.421099824,3915914.7445781617,0.6465690402166061,2025-08-01 02:29:13.609655
48,A1,0.8918089378615438,3173177.4006239,3281369.2585336803,0.6466813123081984,2025-08-01 02:28:13.609655
47,A5,0.8981259276934691,2872567.952012792,3431497.870709352,0.9619703002243608,2025-08-01 02:27:13.609655
47,A4,0.8687389441629554,2500099.858795627,1260851.0943687907,0.6609801170698294,2025-08-01 02:26:13.609655
47,A3,0.9077858611728936,7989912.944472874,1204146.7439102556,0.9739896288502454,2025-08-01 02:25:13.609655
47,A2,1.174989366934989,9648977.77881632,2506770.16652905,0.97840462785759,2025-08-01 02:24:13.609655
47,A1,0.8008487960779218,2152330.350817741,2576978.734484483,0.7804530308912352,2025-08-01 02:23:13.609655
46,A5,0.8650233696190779,6604030.507951816,2860099.2806701357,0.9299640864134338,2025-08-01 02:22:13.609655
46,A4,1.1785796340236807,5997209.250836346,3163650.8686855575,0.742741953939292,2025-08-01 02:21:13.609655
46,A3,0.9554142333355996,7169652.6169328075,2611199.838366498,0.7427795576207501,2025-08-01 02:20:13.609655
46,A2,1.1231989864566587,4511957.640546688,1985269.70839477,0.6549939323436661,2025-08-01 02:19:13.609655
46,A1,1.0464110276938756,9556137.211826991,3229388.759097849,0.8011869804184952,2025-08-01 02:18:13.609655
